shot_id,player,club,x,y,distance_m,angle_deg,defender_pressure_index,xg,psxg,outcome
35,Taofeek Ismaheel,Górnik Zabrze,92.6,33.1,12.4,32.7,0.43,0.07,0.05,Saved
36,Simon Banza,Trabzonspor,98.0,45.0,13.0,18.1,0.53,0.1,0.0,Blocked
37,Gabriel Sara,Galatasaray,98.7,27.4,9.1,33.4,0.67,0.08,0.12,Goal
38,Taofeek Ismaheel,Górnik Zabrze,84.4,35.9,20.7,20.0,0.29,0.03,0.02,Saved
39,Ciro Immobile,Beşiktaş,93.1,26.6,14.0,25.5,0.35,0.11,0.08,Saved
40,Mauro Icardi,Galatasaray,95.7,30.7,9.9,39.0,0.73,0.19,0.0,Off Target
41,Ciro Immobile,Beşiktaş,85.6,40.2,20.4,19.5,0.41,0.05,0.07,Goal
42,Simon Banza,Trabzonspor,81.8,21.3,26.4,13.9,0.38,0.02,0.0,Blocked
43,Ciro Immobile,Beşiktaş,94.1,40.5,12.7,28.4,0.44,0.13,0.12,Saved
44,Victor Osimhen,Galatasaray,100.9,20.6,14.0,9.3,0.42,0.12,0.0,Off Target
45,Damian Rasak,Górnik Zabrze,88.3,22.2,20.4,16.8,0.89,0.02,0.0,Off Target
46,Mauro Icardi,Galatasaray,79.1,39.5,26.5,15.4,0.43,0.03,0.0,Off Target
47,Gabriel Sara,Galatasaray,101.3,37.0,4.8,71.1,0.95,0.13,0.15,Saved
48,Simon Banza,Trabzonspor,96.6,43.7,12.8,22.1,0.74,0.1,0.11,Saved
49,Rafa Silva,Beşiktaş,95.2,35.7,9.9,40.0,0.83,0.12,0.09,Saved
50,Taofeek Ismaheel,Górnik Zabrze,97.0,20.6,15.6,14.3,0.64,0.05,0.04,Saved
51,Lukas Podolski,Górnik Zabrze,100.7,25.0,10.0,20.1,0.81,0.1,0.0,Blocked
52,Gabriel Sara,Galatasaray,82.2,18.7,27.5,12.7,0.33,0.02,0.0,Blocked
53,Dušan Tadić,Fenerbahçe,103.9,49.2,15.2,2.1,0.18,0.06,0.0,Blocked
54,Ciro Immobile,Beşiktaş,78.8,26.2,27.3,14.6,0.34,0.02,0.02,Saved
55,Damian Rasak,Górnik Zabrze,97.3,31.6,8.1,47.5,0.62,0.06,0.0,Off Target
56,Simon Banza,Trabzonspor,92.1,34.4,12.9,31.7,0.29,0.11,0.0,Blocked
57,Damian Rasak,Górnik Zabrze,96.9,33.6,8.1,48.5,0.56,0.06,0.0,Blocked
58,Ciro Immobile,Beşiktaş,87.3,30.3,18.1,22.4,0.3,0.07,0.08,Saved
59,Victor Osimhen,Galatasaray,81.4,40.9,24.6,16.3,0.31,0.03,0.0,Blocked
60,Ciro Immobile,Beşiktaş,100.6,32.2,4.8,74.1,0.54,0.33,0.29,Saved
61,Mauro Icardi,Galatasaray,80.5,38.9,25.0,16.4,0.22,0.04,0.0,Off Target
62,Dušan Tadić,Fenerbahçe,86.5,42.8,20.5,18.4,0.1,0.03,0.04,Saved
63,Luka Zahović,Górnik Zabrze,101.0,32.1,4.4,78.0,0.61,0.25,0.19,Saved
64,Dušan Tadić,Fenerbahçe,84.5,37.7,20.8,19.6,0.1,0.03,0.0,Blocked
65,Ciro Immobile,Beşiktaş,82.4,19.2,27.0,13.0,0.38,0.02,0.0,Blocked
66,Victor Osimhen,Galatasaray,96.3,32.3,8.9,44.3,0.68,0.2,0.0,Blocked
67,Ciro Immobile,Beşiktaş,83.4,21.6,24.9,14.6,0.28,0.03,0.0,Blocked
68,Edin Džeko,Fenerbahçe,79.3,38.5,26.1,15.7,0.28,0.03,0.02,Saved
69,Luka Zahović,Górnik Zabrze,86.2,34.2,18.8,22.0,0.62,0.04,0.04,Saved
70,Mauro Icardi,Galatasaray,86.9,35.0,18.1,22.8,0.51,0.08,0.06,Saved
71,Edin Džeko,Fenerbahçe,96.3,24.5,12.9,22.7,0.53,0.12,0.14,Saved
72,Ciro Immobile,Beşiktaş,84.6,39.2,21.1,19.2,0.25,0.05,0.0,Off Target
73,Luka Zahović,Górnik Zabrze,95.8,33.9,9.2,43.4,0.77,0.13,0.09,Saved
74,Simon Banza,Trabzonspor,98.7,47.4,14.8,12.6,0.52,0.08,0.0,Blocked
75,Dušan Tadić,Fenerbahçe,95.3,36.5,10.0,39.2,0.28,0.11,0.0,Blocked
76,Lukas Podolski,Górnik Zabrze,100.5,49.8,16.4,7.3,0.57,0.05,0.0,Off Target
77,Dušan Tadić,Fenerbahçe,92.7,41.6,14.5,24.7,0.33,0.06,0.06,Saved
78,Ciro Immobile,Beşiktaş,101.4,46.1,12.6,10.2,0.62,0.12,0.14,Saved
79,Victor Osimhen,Galatasaray,81.1,35.4,23.9,17.4,0.1,0.04,0.0,Blocked
80,Taofeek Ismaheel,Górnik Zabrze,92.3,37.1,13.1,30.6,0.36,0.07,0.0,Blocked
81,Gabriel Sara,Galatasaray,83.9,20.3,25.2,14.0,0.7,0.02,0.0,Blocked
82,Lukas Podolski,Górnik Zabrze,87.9,45.6,20.7,16.8,0.72,0.03,0.0,Blocked
83,Ciro Immobile,Beşiktaş,101.8,44.0,10.5,13.6,0.26,0.18,0.16,Saved
84,Rafa Silva,Beşiktaş,99.1,41.0,9.2,31.5,0.67,0.13,0.0,Off Target
85,Dušan Tadić,Fenerbahçe,83.1,18.2,27.0,12.6,0.29,0.02,0.02,Saved
86,Edin Džeko,Fenerbahçe,102.3,29.3,5.4,51.0,0.64,0.28,0.4,Goal
87,Dušan Tadić,Fenerbahçe,85.4,27.8,20.6,19.3,0.3,0.03,0.03,Saved
88,Mauro Icardi,Galatasaray,88.4,49.3,22.6,13.8,0.6,0.04,0.0,Off Target
89,Luka Zahović,Górnik Zabrze,81.2,45.5,26.4,14.3,0.28,0.02,0.02,Saved
90,Damian Rasak,Górnik Zabrze,101.9,31.6,3.9,85.0,0.95,0.09,0.15,Goal
91,Taofeek Ismaheel,Górnik Zabrze,79.1,38.3,26.3,15.7,0.42,0.02,0.0,Off Target
92,Ciro Immobile,Beşiktaş,93.4,43.4,14.9,22.1,0.52,0.1,0.0,Blocked
93,Simon Banza,Trabzonspor,88.7,44.9,19.6,17.8,0.36,0.05,0.05,Saved
94,Mauro Icardi,Galatasaray,97.0,45.2,13.8,18.4,0.64,0.12,0.0,Blocked
95,Lukas Podolski,Górnik Zabrze,80.5,38.0,24.8,16.6,0.84,0.02,0.02,Saved
96,Mauro Icardi,Galatasaray,90.3,35.1,14.7,27.8,0.32,0.12,0.1,Saved
97,Gabriel Sara,Galatasaray,93.8,35.5,11.3,35.7,0.58,0.07,0.0,Blocked
98,Lukas Podolski,Górnik Zabrze,103.7,22.4,11.7,4.4,0.5,0.09,0.0,Blocked
99,Gabriel Sara,Galatasaray,89.5,32.3,15.6,26.3,0.75,0.04,0.0,Blocked
100,Ciro Immobile,Beşiktaş,93.0,26.8,14.0,25.7,0.37,0.11,0.13,Goal
101,Victor Osimhen,Galatasaray,93.5,30.8,11.9,33.1,0.24,0.16,0.0,Blocked
102,Victor Osimhen,Galatasaray,99.6,39.4,7.6,41.3,0.33,0.26,0.4,Goal
103,Simon Banza,Trabzonspor,100.9,38.8,6.3,48.6,0.31,0.25,0.26,Saved
104,Rafa Silva,Beşiktaş,87.8,29.6,17.8,22.6,0.57,0.05,0.0,Off Target
105,Rafa Silva,Beşiktaş,90.1,19.9,20.5,15.0,0.56,0.04,0.04,Saved
106,Lukas Podolski,Górnik Zabrze,82.4,31.1,22.8,18.1,0.55,0.02,0.02,Saved
107,Taofeek Ismaheel,Górnik Zabrze,87.0,39.3,18.8,21.3,0.44,0.03,0.04,Saved
108,Simon Banza,Trabzonspor,98.0,25.8,10.8,26.5,0.33,0.14,0.0,Blocked
109,Edin Džeko,Fenerbahçe,94.2,20.9,17.0,16.0,0.35,0.08,0.0,Off Target
110,Ciro Immobile,Beşiktaş,82.1,20.0,26.8,13.3,0.31,0.03,0.02,Saved
111,Mauro Icardi,Galatasaray,87.9,29.1,17.8,22.4,0.47,0.08,0.0,Off Target
112,Rafa Silva,Beşiktaş,102.5,45.9,12.2,7.8,0.36,0.1,0.11,Saved
113,Ciro Immobile,Beşiktaş,92.7,30.5,12.8,30.9,0.1,0.14,0.14,Saved
114,Simon Banza,Trabzonspor,91.8,41.1,15.0,24.6,0.48,0.08,0.06,Saved
115,Lukas Podolski,Górnik Zabrze,86.4,18.7,24.1,13.5,0.45,0.02,0.0,Off Target
116,Mauro Icardi,Galatasaray,94.7,44.3,14.6,20.8,0.43,0.12,0.2,Goal
117,Edin Džeko,Fenerbahçe,93.8,22.5,16.1,18.6,0.48,0.08,0.0,Off Target
118,Dušan Tadić,Fenerbahçe,81.2,33.3,23.8,17.5,0.21,0.02,0.0,Blocked
119,Edin Džeko,Fenerbahçe,80.1,42.9,26.4,14.9,0.32,0.02,0.0,Off Target
120,Edin Džeko,Fenerbahçe,89.4,21.4,20.1,16.4,0.23,0.05,0.0,Blocked
