Player,Team,Pos,Age,MarketValue_M,Minutes,npxG_p90,xA_p90,ProgPasses_p90,ProgCarries_p90,PAdj_TacklesInterceptions_p90,DefDuelWinPct,PassCompletionPct,KeyPasses_p90,BallRecoveries_p90,Pressures_p90,xT_p90,npxG_p90_pctile,xA_p90_pctile,ProgPasses_p90_pctile,ProgCarries_p90_pctile,PAdj_TacklesInterceptions_p90_pctile,DefDuelWinPct_pctile,PassCompletionPct_pctile,KeyPasses_p90_pctile,BallRecoveries_p90_pctile,Pressures_p90_pctile,xT_p90_pctile
Afonso Sousa,Lech Poznań,AM/CM,25,3.5,1880,0.28,0.29,6.3,4.9,2.4,50.2,83.1,2.3,5.1,15.6,0.32,75.0,87.5,85.7,74.6,42.1,41.4,65.4,88.6,39.3,38.9,89.6
Bartosz Kapustka,Legia Warszawa,CM/AM,29,2.5,2040,0.25,0.26,6.7,4.1,2.95,54.0,84.6,2.1,5.8,16.4,0.28,69.6,82.1,92.5,65.4,55.0,56.8,73.2,81.1,53.9,51.8,78.2
Rafał Augustyniak,Legia Warszawa,DM/CB,32,1.2,1920,0.08,0.08,5.4,1.8,4.1,64.2,85.8,0.7,7.6,16.0,0.12,26.8,12.5,70.0,11.4,81.4,90.0,82.9,7.9,84.3,46.1,13.6
Gustav Berggren,Raków Częstochowa,CM/DM,28,2.2,2210,0.11,0.15,6.55,2.9,4.35,65.1,87.2,1.35,8.1,20.4,0.19,40.4,42.9,90.7,42.1,86.4,93.6,92.9,48.6,90.7,92.1,43.9
Ivi López,Raków Częstochowa,AM/LW,31,2.0,1620,0.35,0.32,5.9,4.4,1.8,45.0,80.4,2.7,4.3,14.2,0.35,88.2,91.8,80.0,70.0,20.7,20.4,49.6,98.6,25.0,25.7,93.9
Taras Romanczuk,Jagiellonia,DM,34,0.8,2050,0.07,0.09,4.9,1.4,4.8,66.8,84.1,0.85,8.3,17.5,0.11,21.4,17.1,54.3,8.2,93.6,95.0,70.4,17.1,95.0,63.9,10.0
Jesús Imaz,Jagiellonia,SS/AM,35,0.8,1980,0.44,0.25,4.8,3.2,1.5,43.5,78.9,2.05,4.2,13.8,0.29,95.7,79.6,52.1,50.4,11.4,14.3,38.6,76.4,22.5,18.9,81.8
Fredrik Ulvestad,Pogoń Szczecin,CM,33,1.0,2100,0.16,0.13,5.6,2.5,3.75,60.2,85.5,1.1,7.4,18.0,0.17,50.7,35.4,73.6,28.6,74.3,81.4,81.1,31.4,82.9,68.6,31.4
Kamil Grosicki,Pogoń Szczecin,LW,37,0.5,2010,0.32,0.36,4.7,6.8,1.2,42.0,75.2,2.8,3.9,11.5,0.36,82.9,96.1,46.4,90.7,3.6,10.0,18.9,99.3,17.1,6.4,96.4
Grzegorz Tomasiewicz,Piast Gliwice,CM,29,1.2,2150,0.06,0.16,6.2,2.8,3.95,57.0,86.4,1.4,7.7,19.1,0.19,17.5,48.6,85.0,40.7,78.6,67.9,86.4,51.8,86.4,82.9,43.9
Fran Tudor,Raków Częstochowa,RWB/CB,30,2.8,2180,0.1,0.21,5.95,4.1,3.6,63.5,82.3,1.8,6.9,16.5,0.24,36.4,70.0,80.7,65.4,71.4,88.6,62.5,68.9,75.4,53.6,66.1
Mikael Ishak,Lech Poznań,CF,32,2.5,1950,0.58,0.18,2.4,2.6,1.1,45.2,74.0,1.3,3.1,14.8,0.22,99.6,59.3,12.1,35.4,1.4,22.9,13.2,45.4,6.8,28.9,59.6
Benjamin Källman,Cracovia,CF,27,2.2,2160,0.52,0.2,2.1,3.1,1.3,47.5,71.5,1.2,3.4,15.2,0.21,97.9,66.8,7.1,47.9,6.4,30.0,5.7,39.3,9.3,32.9,54.6
Marc Gual,Legia Warszawa,CF/SS,29,2.0,1820,0.48,0.22,3.4,4.2,1.45,44.0,76.5,1.65,3.8,15.9,0.27,96.4,73.2,21.4,67.5,10.7,16.8,26.4,60.7,15.7,43.9,75.4
Afimico Pululu,Jagiellonia,CF,26,2.5,1900,0.5,0.16,2.0,3.8,1.6,51.0,72.8,1.1,3.6,16.5,0.2,97.1,48.6,5.7,61.1,14.3,43.6,7.9,31.4,12.1,53.6,50.4
Efthymios Koulouris,Pogoń Szczecin,CF,29,2.0,2080,0.55,0.11,1.8,2.2,1.15,43.8,73.4,0.95,2.9,14.1,0.18,98.6,26.1,5.0,21.1,2.1,15.7,11.4,22.1,5.0,24.3,36.4
Player 27,Śląsk Wrocław,CM,27,3.55,1118,0.09,0.17,4.5,2.03,3.34,53.5,74.9,1.38,8.18,13.7,0.13,32.5,54.3,40.0,17.5,65.0,52.9,17.1,50.7,91.4,16.8,16.1
Player 28,Śląsk Wrocław,CM,22,0.43,2276,0.14,0.18,5.07,2.03,5.33,46.8,87.9,1.31,5.88,20.3,0.17,47.5,59.3,62.5,17.5,98.6,27.9,94.3,47.1,55.7,91.4,31.4
Player 29,Stal Mielec,DM/CM,28,0.52,1336,0.19,0.18,5.46,3.29,2.99,49.5,86.7,0.78,5.58,15.3,0.09,55.4,59.3,72.1,52.9,56.8,37.9,88.9,15.0,51.4,35.0,5.7
Player 30,Lech Poznań,RB/RWB,26,1.18,1452,0.24,0.27,3.23,6.06,2.88,48.3,79.4,1.45,4.39,19.2,0.2,67.9,83.6,20.7,87.9,53.6,32.9,43.6,54.3,26.8,84.6,50.4
Player 31,Zagłębie Lubin,RW/LW,28,1.5,1561,0.29,0.17,5.01,7.97,2.08,56.4,66.5,2.31,4.59,14.8,0.28,77.9,54.3,59.6,97.9,29.3,64.6,0.7,89.3,30.7,28.9,78.2
Player 32,Cracovia,CB,18,3.44,1220,0.03,0.11,4.33,3.5,5.01,64.4,83.1,1.45,7.69,13.9,0.18,7.1,26.1,36.1,57.1,97.1,90.7,65.4,54.3,85.7,20.7,36.4
Player 33,Radomiak Radom,DM/CM,18,1.56,1210,0.07,0.08,5.01,2.86,5.31,60.0,84.9,0.97,4.9,17.4,0.15,21.4,12.5,59.6,41.4,97.9,79.3,75.7,23.9,35.7,62.9,22.9
Player 34,Górnik Zabrze,DM/CM,34,2.9,1852,0.02,0.01,6.98,4.44,4.79,57.7,81.6,1.29,6.46,18.4,0.15,5.0,1.8,95.7,72.1,92.9,70.0,57.9,43.6,66.4,75.0,22.9
Player 35,Lechia Gdańsk,AM/SS,23,1.59,1611,0.33,0.25,2.96,3.97,2.63,50.6,74.1,1.77,4.36,17.0,0.34,84.6,79.6,17.1,62.9,48.6,42.1,14.3,65.7,25.7,58.6,91.4
Player 36,Puszcza Niepołomice,RW/LW,25,2.16,2044,0.15,0.33,8.05,4.62,1.98,38.4,81.8,2.55,3.63,17.0,0.34,48.9,93.6,99.3,72.9,25.7,3.6,59.6,95.0,13.6,58.6,91.4
Player 37,Widzew Łódź,DM/CM,27,2.64,1712,0.1,0.11,5.03,0.76,3.92,58.9,79.3,0.99,8.81,15.7,0.1,36.4,26.1,60.7,2.1,77.9,72.9,42.9,25.0,98.6,40.7,7.5
Player 38,Korona Kielce,RW/LW,29,1.52,1581,0.27,0.21,5.72,7.54,1.29,52.1,78.6,1.9,2.93,19.2,0.29,72.1,70.0,76.1,96.4,5.7,47.9,35.7,74.3,5.7,84.6,81.8
Player 39,Zagłębie Lubin,DM/CM,24,2.01,921,0.08,0.16,4.66,3.2,4.64,56.9,80.8,0.79,8.05,17.7,0.18,26.8,48.6,45.0,50.4,90.7,67.1,50.7,15.7,90.0,66.4,36.4
Player 40,Śląsk Wrocław,DM/CM,32,2.56,1937,0.08,0.17,6.46,1.26,3.05,62.1,85.8,1.21,11.82,18.9,0.21,26.8,54.3,88.6,6.4,58.6,84.6,82.9,40.7,100.0,79.3,54.6
Player 41,Lechia Gdańsk,LB/LWB,25,0.92,1513,0.15,0.32,4.71,5.45,2.31,35.7,80.9,1.64,5.71,15.1,0.25,48.9,91.8,47.1,83.6,37.9,1.4,52.5,60.0,52.9,30.7,70.0
Player 42,Widzew Łódź,LB/LWB,20,0.3,2013,0.28,0.18,2.16,3.81,3.1,45.0,75.7,2.06,2.89,17.9,0.35,75.0,59.3,7.9,62.1,60.4,20.4,20.7,77.5,4.3,67.9,93.9
Player 43,Lechia Gdańsk,CM,33,1.43,1509,0.03,0.13,4.79,1.77,4.36,62.6,82.3,0.16,6.7,17.8,0.15,7.1,35.4,51.1,10.7,87.1,85.7,62.5,1.4,70.7,67.1,22.9
Player 44,Radomiak Radom,RW/LW,28,1.06,1720,0.27,0.23,5.43,8.05,1.36,59.8,69.2,1.82,5.09,16.2,0.23,72.1,75.4,71.1,98.6,8.6,77.5,3.6,70.0,38.6,48.9,63.2
Player 45,Widzew Łódź,DM/CM,31,0.61,1376,0.08,0.03,3.95,3.69,4.16,58.5,76.2,1.56,9.44,21.7,0.12,26.8,4.3,29.6,60.0,82.1,71.1,23.9,57.5,99.3,97.9,13.6
Player 46,Górnik Zabrze,CM,26,2.09,1935,0.04,0.09,3.59,2.21,6.4,49.7,81.1,1.16,7.05,17.0,0.25,9.6,17.1,25.7,22.1,100.0,39.3,55.4,35.7,79.3,58.6,70.0
Player 47,Lechia Gdańsk,AM/SS,18,0.89,1360,0.36,0.28,5.37,6.33,2.09,41.6,77.3,1.56,5.48,15.1,0.22,90.4,84.6,68.6,88.6,30.0,9.3,28.9,57.5,48.6,30.7,59.6
Player 48,GKS Katowice,DM/CM,24,1.3,2073,0.08,0.05,4.74,3.3,3.61,59.3,79.9,1.18,5.45,18.2,0.14,26.8,7.1,47.9,53.6,72.1,75.0,47.5,36.8,46.1,71.4,18.6
Player 49,Legia Warszawa,RW/LW,22,1.05,1988,0.08,0.35,4.08,5.19,1.69,46.7,82.1,2.29,4.99,15.7,0.18,26.8,95.0,31.4,80.0,16.8,27.1,61.1,87.9,36.4,40.7,36.4
Player 50,Pogoń Szczecin,RB/RWB,22,3.16,2269,0.23,0.07,5.34,4.9,2.27,44.2,77.9,1.66,3.94,13.3,0.36,65.0,10.7,66.8,74.6,36.8,17.9,32.5,62.1,19.3,12.9,96.4
Player 51,Motor Lublin,LB/LWB,25,2.42,1768,0.18,0.17,1.53,4.25,1.64,47.9,78.4,2.84,5.45,14.1,0.22,53.2,54.3,3.6,68.6,15.7,31.8,35.0,100.0,46.1,24.3,59.6
Player 52,Pogoń Szczecin,CB,27,0.48,2205,0.1,0.11,4.49,3.25,3.43,64.9,81.7,1.01,7.81,9.6,0.09,36.4,26.1,39.3,52.1,66.4,92.9,58.6,26.1,87.1,0.7,5.7
Player 53,Lechia Gdańsk,CM,26,0.87,1648,0.09,0.13,7.12,3.04,3.28,67.1,81.4,0.74,6.18,15.2,0.17,32.5,35.4,97.1,46.1,63.6,95.7,57.1,10.7,60.0,32.9,31.4
Player 54,Raków Częstochowa,LB/LWB,24,0.68,1840,0.23,0.34,4.66,7.32,2.14,59.4,84.0,1.78,5.47,17.1,0.35,65.0,94.3,45.0,95.0,31.4,75.7,69.3,67.1,47.9,61.1,93.9
Player 55,Cracovia,LB/LWB,29,0.36,1449,0.34,0.21,4.78,1.29,1.81,55.0,80.9,2.07,4.49,17.5,0.25,86.4,70.0,49.6,7.1,21.4,58.6,52.5,78.6,30.0,63.9,70.0
Player 56,Raków Częstochowa,CF,19,2.68,1236,0.27,0.16,1.45,2.23,0.88,43.7,76.8,0.71,3.6,13.7,0.14,72.1,48.6,2.5,22.9,0.7,15.0,27.1,9.3,12.1,16.8,18.6
Player 57,Pogoń Szczecin,DM/CM,25,0.59,1188,0.08,0.01,5.08,2.54,4.21,66.2,87.0,0.75,6.32,18.9,0.12,26.8,1.8,63.6,30.7,83.6,94.3,91.4,12.1,63.6,79.3,13.6
Player 58,Korona Kielce,AM/SS,20,3.86,951,0.24,0.29,3.12,5.25,2.68,41.2,77.3,2.66,2.04,13.5,0.22,67.9,87.5,19.3,80.7,50.0,7.1,28.9,97.1,2.1,14.6,59.6
Player 59,GKS Katowice,CM,30,1.43,1024,0.02,0.13,4.78,0.6,4.87,51.2,93.0,0.75,7.68,21.6,0.22,5.0,35.4,49.6,0.7,95.7,44.6,100.0,12.1,85.0,96.8,59.6
Player 60,Górnik Zabrze,CM,33,3.24,1699,0.03,0.05,5.88,1.91,3.41,55.4,81.0,1.02,6.2,18.2,0.15,7.1,7.1,79.3,14.3,65.7,60.4,54.3,27.1,61.4,71.4,22.9
Player 61,Raków Częstochowa,DM/CM,28,1.35,907,0.08,0.14,6.18,3.01,4.03,69.7,88.3,0.97,6.11,19.1,0.16,26.8,38.9,84.3,44.3,79.6,99.3,96.1,23.9,58.6,82.9,27.5
Player 62,Korona Kielce,LB/LWB,31,1.91,1116,0.11,0.44,2.24,4.93,1.86,43.4,80.0,2.45,5.27,13.7,0.42,40.4,100.0,10.0,75.7,22.1,13.6,48.6,93.6,40.7,16.8,100.0
Player 63,Stal Mielec,AM/SS,27,1.92,1471,0.21,0.12,4.76,5.84,2.42,51.2,79.1,2.14,3.93,13.8,0.31,61.1,31.4,48.6,85.0,43.6,44.6,40.7,82.9,18.6,18.9,87.5
Player 64,GKS Katowice,CM,26,2.83,1514,0.06,0.09,2.52,3.45,3.13,49.5,84.1,0.9,8.19,19.7,0.15,17.5,17.1,13.6,55.4,61.4,37.9,70.4,17.9,92.1,87.1,22.9
Player 65,Pogoń Szczecin,RW/LW,26,1.82,1368,0.29,0.19,5.39,9.29,2.21,48.5,75.2,1.48,5.33,13.4,0.27,77.9,63.9,69.3,99.3,35.7,34.3,18.9,56.1,42.1,13.6,75.4
Player 66,GKS Katowice,LB/LWB,23,2.53,1054,0.21,0.32,3.88,4.43,1.77,52.8,80.9,2.59,5.51,11.4,0.29,61.1,91.8,27.9,71.1,19.6,49.3,52.5,95.7,50.0,5.4,81.8
Player 67,Motor Lublin,CM,25,1.53,1218,0.01,0.09,6.11,2.69,4.49,53.4,80.9,1.08,6.48,20.8,0.12,2.1,17.1,82.1,37.9,89.3,52.1,52.5,28.9,67.1,94.3,13.6
Player 68,Lech Poznań,DM/CM,23,1.27,1727,0.12,0.09,5.04,3.46,3.33,64.1,75.9,0.91,7.95,20.7,0.11,43.2,17.1,61.4,56.4,64.3,89.3,21.4,18.9,88.9,93.6,10.0
Player 69,Motor Lublin,AM/SS,27,0.42,1131,0.2,0.29,3.56,4.02,2.37,47.1,86.1,1.09,4.61,18.3,0.24,57.9,87.5,25.0,64.3,40.0,28.6,84.3,30.0,32.1,73.9,66.1
Player 70,Stal Mielec,CM,22,1.19,1690,0.06,0.19,2.01,0.63,2.81,51.9,84.7,1.12,6.89,17.1,0.18,17.5,63.9,6.4,1.4,52.1,46.8,74.3,33.2,74.3,61.1,36.4
Player 71,Korona Kielce,CM,30,1.33,2270,0.13,0.01,4.28,1.94,5.86,59.9,86.8,0.25,7.37,19.9,0.19,45.7,1.8,35.0,15.0,99.3,78.6,90.4,3.6,82.1,88.6,43.9
Player 72,Korona Kielce,CF,27,0.95,1835,0.58,0.1,1.45,0.96,2.01,37.8,69.7,1.63,1.8,16.3,0.11,99.6,21.8,2.5,2.9,27.1,2.9,4.3,58.9,0.7,50.7,10.0
Player 73,Piast Gliwice,AM/SS,18,0.83,2227,0.21,0.25,4.45,7.19,2.17,47.9,75.5,1.87,4.81,11.2,0.19,61.1,79.6,38.6,93.6,32.9,31.8,20.0,73.6,34.3,3.2,43.9
Player 74,Motor Lublin,DM/CM,28,0.59,2160,0.07,0.18,6.58,2.61,4.85,59.0,88.8,0.94,6.38,22.0,0.15,21.4,59.3,91.4,36.4,95.0,73.6,98.2,20.7,65.0,98.6,22.9
Player 75,Pogoń Szczecin,DM/CM,22,2.21,1786,0.19,0.11,4.81,3.53,3.47,67.7,85.3,0.95,6.93,20.5,0.16,55.4,26.1,52.9,57.9,67.1,97.1,78.9,22.1,76.4,92.9,27.5
Player 76,Raków Częstochowa,RW/LW,27,1.76,1089,0.25,0.08,4.33,2.98,2.19,48.4,77.9,1.66,6.8,12.3,0.19,69.6,12.5,36.1,43.6,34.3,33.6,32.5,62.1,73.2,10.0,43.9
Player 77,Motor Lublin,AM/SS,21,6.0,1006,0.23,0.17,5.43,7.02,1.58,47.3,82.1,2.24,5.34,18.9,0.35,65.0,54.3,71.1,91.4,13.6,29.3,61.1,85.7,42.9,79.3,93.9
Player 78,Śląsk Wrocław,DM/CM,29,1.31,2299,0.06,0.06,8.33,1.84,3.51,54.1,86.2,0.92,6.04,19.1,0.19,17.5,9.6,100.0,12.5,68.6,57.9,85.4,20.0,57.9,82.9,43.9
Player 79,Jagiellonia Białystok,DM/CM,29,0.85,951,0.02,0.15,3.95,3.65,3.59,59.8,85.4,0.23,6.42,20.1,0.19,5.0,42.9,29.6,59.3,70.4,77.5,80.0,2.9,65.7,89.3,43.9
Player 80,Raków Częstochowa,RW/LW,26,2.01,2018,0.26,0.18,6.47,9.34,1.88,44.3,82.8,2.69,3.98,14.4,0.25,70.7,59.3,89.6,100.0,23.2,18.6,63.6,97.9,20.0,27.1,70.0
Player 81,Puszcza Niepołomice,CM,21,0.71,958,0.01,0.06,3.92,3.11,3.67,54.0,92.1,0.73,8.6,21.6,0.07,2.1,9.6,28.6,48.6,72.9,56.8,99.3,10.0,97.5,96.8,2.5
Player 82,Piast Gliwice,DM/CM,25,1.8,1390,0.06,0.19,4.52,1.75,4.18,55.7,86.2,1.08,5.38,21.4,0.24,17.5,63.9,41.1,10.0,82.9,61.8,85.4,28.9,44.3,95.7,66.1
Player 83,Piast Gliwice,DM/CM,19,0.74,1567,0.08,0.11,5.35,2.71,3.03,53.9,84.2,0.75,8.29,17.6,0.24,26.8,26.1,67.9,38.9,57.9,55.7,71.4,12.1,94.3,65.4,66.1
Player 84,Radomiak Radom,RW/LW,28,1.84,2016,0.23,0.29,5.09,5.93,2.53,50.0,80.4,2.4,6.03,13.9,0.3,65.0,87.5,64.3,85.7,44.6,40.7,49.6,91.1,57.1,20.7,85.4
Player 85,GKS Katowice,CB,24,0.68,1940,0.06,0.09,4.83,4.43,4.33,63.3,77.2,1.2,8.21,18.8,0.12,17.5,17.1,53.6,71.1,85.7,87.5,27.9,39.3,92.9,77.1,13.6
Player 86,GKS Katowice,LB/LWB,26,2.8,1449,0.24,0.26,3.51,4.2,2.4,49.9,74.6,1.78,6.35,14.0,0.38,67.9,82.1,23.9,67.5,42.1,40.0,15.7,67.1,64.3,22.5,99.3
Player 87,Zagłębie Lubin,RW/LW,25,0.29,1978,0.21,0.37,2.47,1.24,2.36,44.0,72.9,2.25,4.74,14.1,0.19,61.1,97.5,12.9,5.0,39.3,16.8,8.6,86.4,33.6,24.3,43.9
Player 88,Zagłębie Lubin,CF,28,0.34,1349,0.37,0.2,2.89,3.19,1.18,46.5,79.9,2.11,1.87,14.0,0.16,91.4,66.8,15.7,49.3,2.9,26.4,47.5,82.1,1.4,22.5,27.5
Player 89,Widzew Łódź,DM/CM,27,1.67,1965,0.04,0.14,6.7,2.94,2.98,58.7,85.3,0.7,5.57,16.7,0.11,9.6,38.9,92.5,42.9,55.7,72.1,78.9,7.9,50.7,55.0,10.0
Player 90,Raków Częstochowa,RW/LW,25,0.78,1537,0.35,0.18,1.11,2.35,2.56,51.7,78.7,1.42,4.45,15.5,0.2,88.2,59.3,1.4,25.0,46.4,45.7,36.4,52.9,28.6,37.9,50.4
Player 91,Lech Poznań,RW/LW,24,1.24,1357,0.18,0.22,4.12,5.04,1.99,42.6,77.8,1.37,5.49,17.1,0.24,53.2,73.2,33.2,77.1,26.4,11.8,31.4,49.6,49.3,61.1,66.1
Player 92,Motor Lublin,DM/CM,23,4.02,1758,0.14,0.14,4.99,2.63,4.22,62.1,88.6,1.85,6.95,22.9,0.21,47.5,38.9,58.6,37.1,84.3,84.6,97.1,72.1,77.1,100.0,54.6
Player 93,Jagiellonia Białystok,RB/RWB,31,0.88,1730,0.23,0.39,2.32,7.1,3.1,45.8,76.3,2.42,5.01,10.5,0.22,65.0,99.3,11.4,92.9,60.4,24.3,25.0,92.1,37.5,2.1,59.6
Player 94,Śląsk Wrocław,AM/SS,25,1.02,2115,0.11,0.29,5.72,1.84,1.56,37.6,85.0,1.85,6.28,11.4,0.24,40.4,87.5,76.1,12.5,12.5,2.1,76.8,72.1,62.5,5.4,66.1
Player 95,Zagłębie Lubin,RW/LW,22,0.25,2070,0.33,0.16,6.82,2.43,1.27,55.7,66.6,2.09,4.39,13.7,0.26,84.6,48.6,94.6,27.5,5.0,61.8,1.4,79.6,26.8,16.8,72.5
Player 96,Cracovia,RW/LW,22,2.73,1128,0.1,0.25,4.38,6.65,1.35,53.6,74.2,1.12,4.23,10.3,0.29,36.4,79.6,37.5,90.0,7.9,53.6,15.0,33.2,24.3,1.4,81.8
Player 97,Lech Poznań,RB/RWB,33,0.51,2228,0.19,0.12,6.47,2.31,2.4,34.1,79.8,2.39,5.59,15.1,0.37,55.4,31.4,89.6,24.3,42.1,0.7,46.1,90.0,52.1,30.7,98.2
Player 98,Korona Kielce,DM/CM,34,1.26,2211,0.05,0.16,5.1,2.57,2.2,64.5,85.2,1.4,3.72,22.7,0.14,12.9,48.6,65.0,33.2,35.0,91.4,77.9,51.8,14.3,99.3,18.6
Player 99,Radomiak Radom,DM/CM,22,1.74,1163,0.05,0.14,6.17,1.4,3.76,60.2,84.6,1.07,6.72,18.2,0.18,12.9,38.9,83.6,8.2,75.0,81.4,73.2,27.9,72.1,71.4,36.4
Player 100,Lechia Gdańsk,RB/RWB,26,0.71,1820,0.29,0.21,4.96,5.78,2.35,56.7,78.8,1.78,5.46,18.5,0.2,77.9,70.0,56.8,84.3,38.6,66.4,37.5,67.1,47.1,76.1,50.4
Player 101,Puszcza Niepołomice,RB/RWB,24,2.07,2116,0.13,0.15,2.62,7.3,2.9,56.5,68.9,2.44,6.71,18.3,0.14,45.7,42.9,14.3,94.3,54.3,65.7,2.9,92.9,71.4,73.9,18.6
Player 102,Motor Lublin,DM/CM,32,3.86,1767,0.12,0.01,4.38,2.55,4.7,56.3,83.9,0.54,5.36,21.1,0.06,43.2,1.8,37.5,31.4,92.1,63.2,68.6,5.0,43.6,95.0,1.1
Player 103,Śląsk Wrocław,RW/LW,29,0.26,1945,0.28,0.37,4.12,7.47,2.18,49.3,72.1,1.66,3.1,15.3,0.29,75.0,97.5,33.2,95.7,33.6,36.4,6.4,62.1,6.8,35.0,81.8
Player 104,Korona Kielce,RW/LW,21,2.41,1654,0.2,0.29,2.3,3.42,2.66,41.1,76.1,2.18,3.53,15.8,0.19,57.9,87.5,10.7,54.3,49.3,6.4,22.9,84.3,10.7,42.1,43.9
Player 105,Stal Mielec,LB/LWB,19,1.66,2248,0.39,0.21,3.69,5.31,2.38,47.8,81.8,2.09,4.22,16.5,0.3,92.5,70.0,27.1,81.4,40.7,30.7,59.6,79.6,23.6,53.6,85.4
Player 106,GKS Katowice,AM/SS,20,1.01,1231,0.33,0.16,5.75,4.67,2.85,43.0,78.1,1.48,6.65,12.5,0.29,84.6,48.6,77.1,73.6,52.9,12.9,34.3,56.1,69.6,10.7,81.8
Player 107,Raków Częstochowa,LB/LWB,34,0.32,1149,0.16,0.16,5.28,3.06,2.54,38.9,79.7,1.13,3.88,20.2,0.37,50.7,48.6,65.7,47.1,45.7,4.6,44.6,34.3,16.4,90.4,98.2
Player 108,Korona Kielce,DM/CM,23,1.51,1709,0.06,0.1,4.96,1.98,2.99,55.1,79.7,1.01,6.28,18.1,0.07,17.5,21.8,56.8,16.4,56.8,59.3,44.6,26.1,62.5,69.3,2.5
Player 109,Puszcza Niepołomice,CB,21,2.04,1539,0.01,0.03,4.79,3.04,4.81,53.1,86.6,1.18,7.14,12.1,0.21,2.1,4.3,51.1,46.1,94.3,50.4,87.9,36.8,80.0,8.2,54.6
Player 110,Lechia Gdańsk,DM/CM,24,2.62,2198,0.1,0.09,3.51,2.57,4.42,59.5,88.3,0.7,7.47,16.2,0.17,36.4,17.1,23.9,33.2,88.6,76.4,96.1,7.9,83.6,48.9,31.4
Player 111,Pogoń Szczecin,RB/RWB,24,0.92,1378,0.12,0.12,4.58,2.3,1.77,51.9,78.8,1.63,6.19,20.2,0.27,43.2,31.4,42.9,23.6,19.6,46.8,37.5,58.9,60.7,90.4,75.4
Player 112,Pogoń Szczecin,AM/SS,18,0.9,2129,0.36,0.24,4.95,4.0,2.7,46.0,74.0,2.17,3.6,15.6,0.27,90.4,77.1,55.7,63.6,50.7,25.0,13.2,83.6,12.1,38.9,75.4
Player 113,Raków Częstochowa,RW/LW,25,2.17,1748,0.2,0.26,0.96,5.32,1.88,41.0,79.0,1.93,2.7,13.9,0.1,57.9,82.1,0.7,82.1,23.2,5.7,39.6,75.0,3.6,20.7,7.5
Player 114,Pogoń Szczecin,DM/CM,26,0.38,1441,0.13,0.05,5.53,2.43,2.62,62.9,88.8,0.76,5.11,15.7,0.19,45.7,7.1,72.9,27.5,47.9,86.4,98.2,13.6,40.0,40.7,43.9
